SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,PPOPCHG_2013,PPOPCHG_2014,PPOPCHG_2015,NRANK_ESTBASE2010,NRANK_POPEST2010,NRANK_POPEST2011,NRANK_POPEST2012,NRANK_POPEST2013,NRANK_POPEST2014,NRANK_POPEST2015,NRANK_NPCHG2010,NRANK_NPCHG2011,NRANK_NPCHG2012,NRANK_NPCHG2013,NRANK_NPCHG2014,NRANK_NPCHG2015,NRANK_PPCHG2010,NRANK_PPCHG2011,NRANK_PPCHG2012,NRANK_PPCHG2013,NRANK_PPCHG2014,NRANK_PPCHG2015
40,3,6,47,Tennessee,6346275,6356585,6398408,6455469,6496130,6547779,6600299,10310,41823,57061,40661,51649,52520,0.162457505,0.657947624,0.89179996,0.62986903,0.795073375,0.802104042,17,17,17,17,17,17,17,17,13,11,15,12,13,29,27,20,28,20,19
40,3,7,48,Texas,25146105,25244363,25654464,26089741,26500674,26979078,27469114,98258,410101,435277,410933,478404,490036,0.390748388,1.624525047,1.696691071,1.575075046,1.805252199,1.816355622,2,2,2,2,2,2,2,1,1,1,1,1,1,4,2,3,4,2,6
40,4,8,49,Utah,2763888,2775426,2816440,2856343,2903685,2944498,2995919,11538,41014,39903,47342,40813,51421,0.417455411,1.477755127,1.41678857,1.657433999,1.405558799,1.746341821,34,34,34,34,33,33,31,14,14,15,12,16,14,3,4,5,3,8,7
40,1,1,50,Vermont,625745,625984,626687,626398,627129,626767,626042,239,703,-289,731,-362,-725,0.038194472,0.11230319,-0.046115525,0.116698968,-0.057723371,-0.115672969,49,49,49,50,50,50,50,49,48,51,48,46,46,46,46,51,43,48,49
40,3,5,51,Virginia,8001045,8025787,8110783,8193374,8267875,8328098,8382993,24742,84996,82591,74501,60223,54895,0.309234606,1.059036329,1.018286397,0.909283526,0.728397563,0.659154107,12,12,12,12,12,12,12,6,7,8,9,10,11,6,9,16,19,22,22
40,4,9,53,Washington,6724543,6743060,6823229,6897292,6973281,7063166,7170351,18517,80169,74063,75989,89885,107185,0.275364437,1.188911266,1.085453823,1.101722241,1.288991509,1.517520613,13,13,13,13,13,13,13,9,8,9,8,7,5,8,8,12,11,10,8
40,3,5,54,West Virginia,1853011,1854225,1854948,1856283,1852985,1848751,1844128,1214,723,1335,-3298,-4234,-4623,0.065514992,0.038992032,0.071969673,-0.177666875,-0.228496183,-0.250060717,37,37,37,37,38,38,38,45,47,48,51,50,50,44,49,47,51,51,51
40,2,3,55,Wisconsin,5687289,5690204,5709720,5726422,5743653,5759432,5771337,2915,19516,16702,17231,15779,11905,0.051254649,0.342975401,0.292518723,0.300903426,0.274720635,0.206704411,20,20,20,20,20,20,20,38,25,25,26,30,32,45,38,39,36,37,38
40,4,8,56,Wyoming,563767,564516,567768,577080,583131,584304,586107,749,3252,9312,6051,1173,1803,0.132856304,0.576068703,1.640106522,1.048554793,0.201155487,0.30857225,51,51,51,51,51,51,51,46,45,39,43,45,42,32,30,4,12,40,33
40,X,X,72,Puerto Rico,3726157,3721526,3678736,3634487,3593079,3534888,3474182,-4631,-42790,-44249,-41408,-58191,-60706,-0.124283545,-1.149797153,-1.202831625,-1.139307968,-1.619530214,-1.717338711,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
